0,1,2,3,4,5,6,7
2.48597e+130,200,200,200,200,200,200,200
3.88818e+131,200,200,200,200,200,200,200
5.77096e+130,200,200,200,200,200,200,200
5.27697e+129,200,200,200,200,200,200,200
4.47429e+128,200,200,200,200,200,200,200
3.76205e+127,200,200,200,200,200,200,200
3.16357e+126,200,200,200,200,200,200,200
2.66295e+125,200,200,200,200,200,200,200
2.244e+124,200,200,200,200,200,200,200
1.89305e+123,200,200,200,200,200,200,200
1.59879e+122,200,200,200,200,200,200,200
1.3518e+121,200,200,200,200,200,200,200
1.1443e+120,200,200,200,200,200,200,200
9.69778e+118,200,200,200,200,200,200,200
8.22852e+117,200,200,200,200,200,200,200
6.99029e+116,200,200,200,200,200,200,200
5.94564e+115,200,200,200,200,200,200,200
5.06339e+114,200,200,200,200,200,200,200
4.31748e+113,200,200,200,200,200,200,200
3.68615e+112,200,200,200,200,200,200,200
3.15122e+111,200,200,200,200,200,200,200
2.69746e+110,200,200,200,200,200,200,200
2.31212e+109,200,200,200,200,200,200,200
1.98452e+108,200,200,200,200,200,200,200
1.70568e+107,200,200,200,200,200,200,200
1.46806e+106,200,200,200,200,200,200,200
1.26534e+105,200,200,200,200,200,200,200
1.09218e+104,200,200,200,200,200,200,200
9.44101e+102,200,200,200,200,200,200,200
8.17309e+101,200,200,200,200,200,200,200
7.08614e+100,200,200,200,200,200,200,200
6.15317e+99,200,200,200,200,200,200,200
5.35137e+98,200,200,200,200,200,200,200
4.66142e+97,200,200,200,200,200,200,200
4.06697e+96,200,200,200,200,200,200,200
3.55414e+95,200,200,200,200,200,200,200
3.11115e+94,200,200,200,200,200,200,200
2.72799e+93,200,200,200,200,200,200,200
2.39615e+92,200,200,200,200,200,200,200
2.10836e+91,200,200,200,200,200,200,200
1.85844e+90,200,200,200,200,200,200,200
1.64113e+89,200,200,200,200,200,200,200
1.45191e+88,200,200,200,200,200,200,200
1.28692e+87,200,200,200,200,200,200,200
1.14287e+86,200,200,200,200,200,200,200
1.01693e+85,200,200,200,200,200,200,200
9.06668e+83,200,200,200,200,200,200,200
8.10003e+82,200,200,200,200,200,200,200
7.25142e+81,200,200,200,200,200,200,200
6.50544e+80,200,200,200,200,200,200,200
5.84888e+79,200,200,200,200,200,200,200
5.2713e+78,200,200,200,200,200,200,200
4.77293e+77,200,200,200,200,200,200,200
4.44667e+76,200,200,200,200,200,200,200
5.29971e+75,200,200,200,200,200,200,200
1.74717e+75,200,200,200,200,200,200,200
1.42418e+75,200,200,200,200,200,200,200
1.39474e+75,200,200,200,200,200,200,200
1.39205e+75,200,200,200,200,200,200,200
1.3918e+75,200,200,200,200,200,200,200
